job_title,salary_usd,salary_currency,salary_local,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,benefits_score,company_name
Data Scientist,219728,USD,219728,EX,PT,Sweden,M,Sweden,0,"Python, Computer Vision, R, Docker",Associate,13,Transportation,6.6,TechCorp Inc
Head of AI,230237,JPY,25326070,EX,PT,Japan,L,Japan,50,"Kubernetes, MLOps, Tableau, Python",Bachelor,10,Transportation,8.5,Cloud AI Solutions
Data Engineer,128890,EUR,109557,EX,CT,Germany,S,Germany,100,"Spark, Scala, Hadoop, PyTorch, GCP",Bachelor,12,Automotive,5.5,Quantum Computing Inc
Computer Vision Engineer,96349,USD,96349,MI,FL,Finland,L,Finland,50,"MLOps, Linux, Tableau, Python",PhD,2,Automotive,6.8,Cognitive Computing
Robotics Engineer,63065,EUR,53605,EN,FT,France,S,France,100,"R, Scala, SQL, GCP, Python",Associate,0,Finance,9.3,Advanced Robotics
Data Scientist,111794,SGD,145332,SE,CT,Singapore,S,Norway,50,"NLP, MLOps, TensorFlow",Master,7,Technology,5.1,Cloud AI Solutions
AI Consultant,113897,CAD,142371,SE,PT,Canada,L,Poland,50,"PyTorch, Linux, NLP",Associate,9,Gaming,7.4,AI Innovations
Head of AI,168639,AUD,227663,SE,FT,Australia,L,Vietnam,100,"Spark, SQL, Tableau, Computer Vision, Linux",Associate,9,Consulting,5.5,TechCorp Inc
Data Scientist,92624,JPY,10188640,MI,FT,Japan,L,Japan,50,"Kubernetes, SQL, Docker, Deep Learning",Bachelor,4,Government,9.5,DataVision Ltd
Machine Learning Engineer,215627,GBP,161720,EX,FT,United Kingdom,M,United Kingdom,50,"Git, Scala, GCP",PhD,10,Government,7.8,DeepTech Ventures
Data Engineer,129706,USD,129706,MI,CT,Denmark,L,Denmark,0,"SQL, PyTorch, Statistics, TensorFlow, NLP",Bachelor,3,Consulting,5.2,Cloud AI Solutions
Deep Learning Engineer,76559,USD,76559,EN,FL,United States,S,United States,100,"Data Visualization, Mathematics, PyTorch, GCP",Bachelor,1,Government,8.3,Machine Intelligence Group
Principal Data Scientist,185834,USD,185834,EX,CT,United States,L,United States,100,"Linux, Data Visualization, Python, TensorFlow",Associate,14,Telecommunications,8.9,Autonomous Tech
Principal Data Scientist,89801,USD,89801,MI,PT,Sweden,M,Belgium,100,"Linux, MLOps, Deep Learning",Master,3,Healthcare,8.7,Cloud AI Solutions
Principal Data Scientist,252601,USD,252601,EX,PT,Norway,L,Norway,100,"Kubernetes, SQL, AWS, Git, Computer Vision",Master,19,Gaming,5.1,TechCorp Inc
AI Product Manager,20520,USD,20520,EN,FT,India,S,India,0,"Hadoop, Git, Computer Vision, Kubernetes, Data Visualization",Master,0,Gaming,7.5,Predictive Systems
Robotics Engineer,192789,CHF,173510,SE,PT,Switzerland,S,Switzerland,100,"Tableau, Git, Python, Java",Master,5,Healthcare,5.9,Quantum Computing Inc
Machine Learning Researcher,107184,SGD,139339,SE,FL,Singapore,S,Singapore,50,"Azure, GCP, Computer Vision",Master,7,Automotive,9.2,DeepTech Ventures
Robotics Engineer,141909,EUR,120623,SE,FT,Netherlands,M,Netherlands,0,"Git, Kubernetes, MLOps, Spark",Associate,6,Healthcare,7.8,Cloud AI Solutions
Data Engineer,118238,USD,118238,SE,FL,Ireland,M,Ireland,100,"AWS, Python, Azure, SQL, Computer Vision",Associate,7,Education,8.2,TechCorp Inc
Data Scientist,155210,AUD,209534,SE,PT,Australia,L,Argentina,0,"Spark, NLP, AWS",Master,7,Energy,9.7,Neural Networks Co
Data Engineer,96699,AUD,130544,SE,FT,Australia,S,Australia,0,"GCP, Linux, Mathematics",PhD,5,Technology,9.7,TechCorp Inc
AI Software Engineer,161477,EUR,137255,SE,FT,France,L,France,50,"Mathematics, Spark, Linux",Bachelor,8,Real Estate,9.5,DataVision Ltd
AI Software Engineer,316709,USD,316709,EX,CT,Denmark,L,Denmark,50,"Data Visualization, Azure, Statistics",PhD,18,Transportation,7.6,Autonomous Tech
ML Ops Engineer,62089,CAD,77611,MI,CT,Canada,S,Singapore,50,"Python, GCP, Linux, SQL, Deep Learning",PhD,3,Media,9.7,Predictive Systems
Principal Data Scientist,77985,USD,77985,EN,CT,Denmark,S,Denmark,0,"SQL, TensorFlow, Computer Vision, Kubernetes",Associate,0,Automotive,9.4,Neural Networks Co
Robotics Engineer,55315,EUR,47018,EN,PT,Austria,S,Austria,0,"Spark, Deep Learning, SQL, NLP, Python",PhD,0,Media,9.5,Future Systems
AI Architect,246647,SGD,320641,EX,PT,Singapore,M,Singapore,50,"Scala, Mathematics, SQL",Master,16,Telecommunications,6.6,DeepTech Ventures
Deep Learning Engineer,29050,USD,29050,EN,FT,China,S,Germany,0,"PyTorch, Kubernetes, Deep Learning, Hadoop",Associate,1,Consulting,5.2,AI Innovations
Head of AI,120599,GBP,90449,MI,CT,United Kingdom,L,United Kingdom,50,"Linux, AWS, Python",Master,4,Energy,6.4,Quantum Computing Inc
AI Specialist,277727,SGD,361045,EX,PT,Singapore,L,Singapore,50,"Python, Git, TensorFlow",Associate,13,Healthcare,9.0,Future Systems
Data Engineer,158734,CAD,198418,EX,PT,Canada,S,South Korea,50,"Data Visualization, NLP, Computer Vision",Master,16,Retail,6.2,Future Systems
Data Engineer,139438,JPY,15338180,SE,FL,Japan,L,Japan,0,"Python, Spark, Git, Data Visualization, Docker",PhD,9,Retail,9.9,Cognitive Computing
Head of AI,131432,SGD,170862,SE,PT,Singapore,M,Sweden,50,"Kubernetes, Data Visualization, Deep Learning, Azure, Computer Vision",Master,5,Manufacturing,5.3,Cognitive Computing
Data Analyst,140290,USD,140290,MI,PT,Denmark,L,Denmark,50,"PyTorch, SQL, R, Azure",Associate,4,Real Estate,5.7,DeepTech Ventures
Research Scientist,90858,EUR,77229,MI,CT,France,L,France,50,"Scala, PyTorch, Deep Learning, Kubernetes, Java",Bachelor,2,Real Estate,7.1,DataVision Ltd
Autonomous Systems Engineer,126597,GBP,94948,SE,FL,United Kingdom,L,Singapore,50,"PyTorch, Java, TensorFlow, Computer Vision, SQL",Master,6,Government,7.8,Machine Intelligence Group
AI Architect,53274,USD,53274,EN,FL,Finland,M,Finland,100,"Spark, Python, Statistics, Hadoop, TensorFlow",Associate,0,Automotive,6.0,Autonomous Tech
Machine Learning Researcher,155357,USD,155357,EX,FL,Sweden,S,France,100,"TensorFlow, SQL, Computer Vision, Kubernetes",Bachelor,17,Real Estate,5.2,Cloud AI Solutions
Principal Data Scientist,116292,EUR,98848,MI,FL,Netherlands,M,Hungary,50,"Java, Docker, Python",Bachelor,4,Gaming,7.9,Quantum Computing Inc
Computer Vision Engineer,140363,EUR,119309,SE,CT,Austria,L,Austria,100,"MLOps, Hadoop, TensorFlow, Kubernetes",Master,6,Manufacturing,9.8,TechCorp Inc
Research Scientist,162306,USD,162306,SE,CT,Israel,L,Luxembourg,0,"Statistics, SQL, Tableau, Hadoop, R",Master,9,Energy,5.6,Neural Networks Co
Data Analyst,134224,USD,134224,EX,FT,China,L,China,0,"Python, SQL, Git",Master,16,Technology,6.6,Quantum Computing Inc
Research Scientist,77500,GBP,58125,MI,CT,United Kingdom,S,Norway,0,"Mathematics, Hadoop, TensorFlow",PhD,3,Technology,10.0,Machine Intelligence Group
Computer Vision Engineer,154083,USD,154083,SE,PT,Ireland,L,Ireland,50,"Hadoop, Python, Deep Learning",Associate,7,Manufacturing,7.7,Neural Networks Co
Machine Learning Engineer,79445,USD,79445,MI,FL,Ireland,M,Ireland,50,"Python, Statistics, TensorFlow, Computer Vision",Bachelor,4,Real Estate,7.2,Cloud AI Solutions
Head of AI,157466,CHF,141719,SE,FL,Switzerland,M,Switzerland,100,"Git, Data Visualization, Spark, Computer Vision, Azure",Associate,8,Automotive,5.2,Future Systems
Head of AI,38972,USD,38972,MI,FT,India,L,India,0,"Kubernetes, Mathematics, TensorFlow, MLOps",PhD,4,Real Estate,7.1,AI Innovations
Deep Learning Engineer,66090,CAD,82613,MI,PT,Canada,S,Canada,0,"AWS, SQL, R, Scala",PhD,3,Technology,5.3,DeepTech Ventures
Data Analyst,47943,USD,47943,MI,PT,China,L,China,50,"TensorFlow, Mathematics, NLP, Docker",PhD,2,Finance,6.2,Smart Analytics
ML Ops Engineer,217318,USD,217318,EX,PT,Ireland,M,Malaysia,100,"SQL, PyTorch, Hadoop",Bachelor,17,Finance,7.8,Cognitive Computing
AI Architect,84705,USD,84705,MI,CT,Norway,S,Norway,50,"Scala, Spark, PyTorch",PhD,3,Government,6.6,Autonomous Tech
NLP Engineer,36076,USD,36076,SE,FT,India,M,India,50,"Python, TensorFlow, Data Visualization",Master,7,Media,7.5,Cognitive Computing
AI Consultant,160216,USD,160216,EX,FT,Israel,L,Israel,100,"Deep Learning, Linux, Python, SQL",Master,15,Education,6.0,Predictive Systems
Deep Learning Engineer,60826,GBP,45620,EN,FT,United Kingdom,S,United Kingdom,0,"SQL, Kubernetes, Azure",Bachelor,0,Energy,6.3,Autonomous Tech
Deep Learning Engineer,237320,GBP,177990,EX,PT,United Kingdom,M,United Kingdom,0,"Kubernetes, MLOps, Scala",Bachelor,16,Real Estate,7.7,DataVision Ltd
Robotics Engineer,60243,EUR,51207,EN,FL,France,M,France,100,"Scala, PyTorch, Data Visualization, Linux, Mathematics",Master,1,Healthcare,8.8,Future Systems
Head of AI,74091,JPY,8150010,EN,PT,Japan,M,Japan,50,"Deep Learning, NLP, R, Linux, SQL",Bachelor,1,Consulting,7.2,Quantum Computing Inc
AI Specialist,68535,EUR,58255,EN,FT,France,L,France,100,"SQL, Scala, PyTorch",Associate,1,Media,5.5,Machine Intelligence Group
Robotics Engineer,99401,USD,99401,MI,FL,Norway,S,Norway,50,"Hadoop, Kubernetes, Data Visualization, Python, Linux",Bachelor,3,Healthcare,9.4,Quantum Computing Inc
Machine Learning Researcher,67632,USD,67632,EN,FT,Ireland,L,Ireland,0,"Linux, GCP, Deep Learning",Master,0,Government,8.9,Advanced Robotics
ML Ops Engineer,133163,EUR,113189,SE,CT,Netherlands,M,Netherlands,0,"SQL, Statistics, MLOps, PyTorch, Kubernetes",Associate,6,Media,7.9,Neural Networks Co
Robotics Engineer,125752,USD,125752,MI,FT,Norway,S,Norway,0,"NLP, Statistics, Scala",Master,4,Automotive,6.0,Machine Intelligence Group
AI Product Manager,70927,JPY,7801970,EN,CT,Japan,M,Japan,0,"Git, Computer Vision, Docker, SQL, Hadoop",Associate,1,Technology,9.3,Quantum Computing Inc
